year,ft_democratic_party,ft_republican_party,education
1984,40,97,Some College
1984,60,60,Some College
1984,40,60,High School and Non-Academic Training
1984,97,50,High School
1984,60,60,High School
1984,60,40,High School
1984,50,50,College Degree
1984,50,50,High School and Non-Academic Training
1984,30,60,
1984,40,40,College Degree
1984,50,85,Some College
1984,70,0,College Degree
1984,50,85,High School and Non-Academic Training
1984,50,50,Some College
1984,85,0,Some College
1984,70,85,Some High School
1984,50,60,College Degree
1984,,,High School and Non-Academic Training
1984,40,60,High School
1984,85,70,High School
1984,40,97,8th Grade or Less
1984,85,85,Some College
1984,85,97,High School
1984,85,70,High School
1984,70,97,Some High School
1984,50,50,High School and Non-Academic Training
1984,40,30,Some College
1984,70,60,High School
1984,70,60,Some College
1984,50,50,High School
1984,0,97,High School and Non-Academic Training
1984,70,60,High School and Non-Academic Training
1984,85,60,High School and Non-Academic Training
1984,85,15,Some High School
1984,85,60,High School
1984,70,97,Some College
1984,70,60,Some College
1984,70,70,Some High School
1984,97,85,Some High School
1984,60,70,Some High School
1984,40,85,High School
1984,,,Some High School
1984,60,85,College Degree
1984,60,40,High School
1984,50,70,High School
1984,97,30,Some College
1984,85,95,Some High School
1984,60,60,High School
1984,60,70,Some College
1984,60,60,High School and Non-Academic Training
1984,7,4,High School
1984,40,60,8th Grade or Less
1984,50,50,8th Grade or Less
1984,50,50,High School
1984,0,60,College Degree
1984,0,97,High School
1984,97,0,Some College
1984,85,60,8th Grade or Less
1984,60,70,Some High School
1984,50,60,College Degree
1984,60,50,High School
1984,85,30,Some College
1984,60,85,College Degree
1984,70,60,Some College
1984,60,70,College Degree
1984,60,60,High School
1984,85,50,College Degree
1984,15,85,College Degree
1984,60,70,High School and Non-Academic Training
1984,50,97,High School
1984,60,70,High School and Non-Academic Training
1984,50,70,High School and Non-Academic Training
1984,70,50,Some College
1984,60,60,High School
1984,30,40,College Degree
1984,50,70,High School and Non-Academic Training
1984,50,60,High School and Non-Academic Training
1984,97,40,Some College
1984,30,70,High School
1984,70,60,College Degree
1984,,,8th Grade or Less
1984,85,50,High School
1984,85,30,Some College
1984,97,15,8th Grade or Less
1984,70,50,High School and Non-Academic Training
1984,60,15,Some College
1984,85,85,Some College
1984,15,70,High School and Non-Academic Training
1984,50,90,High School and Non-Academic Training
1984,70,15,Some College
1984,50,70,Some High School
1984,85,40,Some High School
1984,60,70,High School
1984,50,70,High School
1984,70,60,College Degree
1984,60,70,Some College
1984,30,85,College Degree
1984,60,70,Some High School
1984,50,50,College Degree
1984,50,60,High School and Non-Academic Training
1984,30,85,Some College
1984,40,85,Some College
1984,85,50,8th Grade or Less
1984,50,50,College Degree
1984,40,70,High School
1984,60,80,High School
1984,70,70,Some College
1984,40,60,Some College
1984,97,0,Some College
1984,97,0,High School
1984,0,0,High School
1984,,,High School
1984,60,60,Some High School
1984,30,60,High School and Non-Academic Training
1984,50,85,College Degree
1984,70,70,College Degree
1984,50,50,Some High School
1984,60,60,8th Grade or Less
1984,40,70,High School
1984,50,50,Some College
1984,,,Some High School
1984,,,High School and Non-Academic Training
1984,60,40,Some College
1984,60,30,High School and Non-Academic Training
1984,60,70,High School
1984,50,50,High School and Non-Academic Training
1984,85,30,High School and Non-Academic Training
1984,85,50,Some High School
1984,70,70,High School
1984,30,60,Some College
1984,50,60,High School and Non-Academic Training
1984,70,85,Some College
1984,60,60,College Degree
1984,50,50,High School and Non-Academic Training
1984,40,60,High School
1984,60,0,High School
1984,85,50,High School
1984,50,50,8th Grade or Less
1984,60,20,College Degree
1984,80,30,8th Grade or Less
1984,60,30,High School
1984,80,50,College Degree
1984,60,40,Some College
1984,97,40,High School
1984,60,60,High School
1984,97,50,8th Grade or Less
1984,50,60,Some College
1984,97,50,College Degree
1984,50,85,Some High School
1984,60,60,High School
1984,60,97,College Degree
1984,70,85,High School
1984,97,0,Some College
1984,50,97,Some High School
1984,50,60,Some College
1984,70,70,College Degree
1984,30,85,High School and Non-Academic Training
1984,97,50,College Degree
1984,50,50,High School
1984,50,50,College Degree
1984,,,8th Grade or Less
1984,60,40,Some High School
1984,70,50,8th Grade or Less
1984,50,60,Some College
1984,40,85,High School
1984,60,60,High School
1984,97,0,High School
1984,70,60,College Degree
1984,70,60,High School and Non-Academic Training
1984,85,50,Some High School
1984,97,0,8th Grade or Less
1984,50,50,High School and Non-Academic Training
1984,85,60,High School
1984,60,60,High School
1984,85,60,Some College
1984,50,85,High School and Non-Academic Training
1984,60,85,High School and Non-Academic Training
1984,40,97,8th Grade or Less
1984,40,60,High School
1984,85,60,High School and Non-Academic Training
1984,50,50,Some College
1984,40,70,Some College
1984,50,50,Some College
1984,70,85,Some High School
1984,50,50,Some College
1984,60,15,Some High School
1984,50,50,High School and Non-Academic Training
1984,,,8th Grade or Less
1984,,,8th Grade or Less
1984,60,70,High School and Non-Academic Training
1984,0,97,Some College
1984,85,50,Some High School
1984,85,70,High School and Non-Academic Training
1984,85,60,Some College
1984,90,30,College Degree
1984,40,85,College Degree
1984,70,70,College Degree
1984,30,85,College Degree
1984,60,45,High School and Non-Academic Training
1984,40,85,8th Grade or Less
1984,50,85,High School
1984,60,85,8th Grade or Less
1984,85,30,8th Grade or Less
1984,60,60,College Degree
1984,97,60,Some College
1984,40,70,High School
1984,70,30,High School and Non-Academic Training
1984,60,70,High School and Non-Academic Training
1984,60,70,Some College
1984,,,Some High School
1984,97,0,8th Grade or Less
1984,85,0,8th Grade or Less
1984,0,85,College Degree
1984,85,30,Some College
1984,50,60,High School and Non-Academic Training
1984,40,70,College Degree
1984,50,80,Some High School
1984,,,8th Grade or Less
1984,97,85,8th Grade or Less
1984,97,0,High School and Non-Academic Training
1984,40,50,Some College
1984,60,70,High School and Non-Academic Training
1984,85,50,Some College
1984,30,70,College Degree
1984,40,85,College Degree
1984,,,High School and Non-Academic Training
1984,0,97,Some High School
1984,70,60,Some High School
1984,70,0,College Degree
1984,60,60,Some High School
1984,50,85,High School and Non-Academic Training
1984,40,97,High School
1984,50,50,High School and Non-Academic Training
1984,60,70,Some College
1984,70,85,Some College
1984,60,40,College Degree
1984,60,60,Some College
1984,60,70,College Degree
1984,50,85,College Degree
1984,50,50,Some College
1984,85,40,High School
1984,50,50,Some High School
1984,60,30,Some College
1984,30,85,Some College
1984,30,85,High School and Non-Academic Training
1984,70,60,8th Grade or Less
1984,,,8th Grade or Less
1984,30,80,College Degree
1984,97,97,High School
1984,85,97,Some College
1984,50,50,High School
1984,70,85,8th Grade or Less
1984,97,15,High School
1984,40,70,High School
1984,85,15,College Degree
1984,70,30,Some College
1984,90,50,8th Grade or Less
1984,50,50,Some College
1984,70,60,Some High School
1984,50,50,High School and Non-Academic Training
1984,50,50,High School and Non-Academic Training
1984,60,60,Some College
1984,50,50,High School
1984,50,50,Some College
1984,40,70,Some College
1984,60,30,Some College
1984,70,60,College Degree
1984,97,70,8th Grade or Less
1984,60,70,Some High School
1984,70,70,High School and Non-Academic Training
1984,70,40,High School and Non-Academic Training
1984,60,60,Some College
1984,40,85,Some High School
1984,40,85,Some College
1984,,,Some High School
1984,50,50,High School and Non-Academic Training
1984,97,,Some High School
1984,70,60,High School
1984,85,40,High School
1984,60,30,College Degree
1984,85,60,High School
1984,70,40,Some College
1984,50,50,Some College
1984,70,70,High School and Non-Academic Training
1984,0,97,High School
1984,,,8th Grade or Less
1984,50,97,Some College
1984,30,85,Some College
1984,60,60,High School
1984,60,70,High School
1984,85,50,Some College
1984,50,70,Some College
1984,50,60,High School and Non-Academic Training
1984,50,70,College Degree
1984,60,50,High School and Non-Academic Training
1984,85,40,Some College
1984,50,80,8th Grade or Less
1984,50,50,8th Grade or Less
1984,70,85,College Degree
1984,60,85,College Degree
1984,,,Some High School
1984,,,High School
1984,,,Some College
1984,85,30,High School and Non-Academic Training
1984,50,50,Some College
1984,60,60,8th Grade or Less
1984,,,8th Grade or Less
1984,70,85,High School and Non-Academic Training
1984,60,70,College Degree
1984,50,50,High School
1984,40,60,High School and Non-Academic Training
1984,70,15,College Degree
1984,85,50,High School and Non-Academic Training
1984,97,50,Some College
1984,50,70,High School
1984,85,60,High School and Non-Academic Training
1984,30,70,Some College
1984,40,50,High School
1984,60,70,Some College
1984,50,50,High School and Non-Academic Training
1984,85,70,High School and Non-Academic Training
1984,85,30,Some College
1984,70,40,College Degree
1984,85,40,Some High School
1984,40,60,Some College
1984,50,50,High School and Non-Academic Training
1984,50,50,High School
1984,40,70,High School
1984,60,40,High School
1984,70,85,Some College
1984,85,40,College Degree
1984,50,85,High School
1984,97,20,High School
1984,70,80,Some College
1984,30,0,Some College
1984,,,8th Grade or Less
1984,50,70,Some High School
1984,70,40,Some College
1984,97,50,Some College
1984,50,70,High School and Non-Academic Training
1984,85,70,Some High School
1984,85,60,Some High School
1984,70,40,High School and Non-Academic Training
1984,70,40,Some College
1984,60,70,Some College
1984,50,50,High School
1984,85,85,Some High School
1984,97,97,8th Grade or Less
1984,60,60,Some College
1984,50,60,8th Grade or Less
1984,70,60,High School and Non-Academic Training
1984,60,50,Some College
1984,60,70,Some College
1984,40,70,High School
1984,70,70,8th Grade or Less
1984,60,70,8th Grade or Less
1984,85,70,High School and Non-Academic Training
1984,15,85,College Degree
1984,85,50,High School and Non-Academic Training
1984,50,50,High School
1984,85,15,High School
1984,85,40,Some College
1984,75,,8th Grade or Less
1984,,,8th Grade or Less
1984,30,30,High School and Non-Academic Training
1984,60,60,
1984,85,70,Some College
1984,50,85,College Degree
1984,85,15,College Degree
1984,30,85,High School
1984,97,70,Some High School
1984,30,30,Some College
1984,,,High School and Non-Academic Training
1984,50,50,High School
1984,,60,Some College
1984,15,70,High School and Non-Academic Training
1984,15,85,College Degree
1984,40,97,Some College
1984,85,50,Some High School
1984,85,50,High School and Non-Academic Training
1984,97,70,8th Grade or Less
1984,97,40,High School
1984,97,50,8th Grade or Less
1984,85,50,Some High School
1984,70,40,College Degree
1984,40,85,Some College
1984,85,70,8th Grade or Less
1984,50,85,High School
1984,50,50,High School
1984,50,60,Some High School
1984,50,70,High School
1984,97,0,8th Grade or Less
1984,70,60,College Degree
1984,40,60,Some High School
1984,,,Some College
1984,40,70,High School and Non-Academic Training
1984,97,40,8th Grade or Less
1984,30,60,Some High School
1984,50,70,Some High School
1984,97,85,Some High School
1984,97,50,High School
1984,40,40,High School and Non-Academic Training
1984,50,50,Some College
1984,97,15,College Degree
1984,60,85,Some High School
1984,50,50,Some High School
1984,0,0,High School
1984,60,70,College Degree
1984,50,50,Some College
1984,40,85,Some College
1984,50,50,High School
1984,70,50,Some College
1984,,97,Some High School
1984,0,97,College Degree
1984,40,80,Some High School
1984,,,Some College
1984,85,0,High School
1984,85,50,Some High School
1984,50,50,Some High School
1984,97,0,8th Grade or Less
1984,85,70,High School
1984,85,70,High School
1984,60,70,High School and Non-Academic Training
1984,50,70,College Degree
1984,30,70,College Degree
1984,97,0,High School
1984,60,60,Some College
1984,50,60,High School
1984,0,97,High School and Non-Academic Training
1984,70,70,Some College
1984,15,85,High School
1984,85,50,High School
1984,85,15,College Degree
1984,50,97,High School
1984,60,60,Some College
1984,60,60,High School
1984,,,High School
1984,50,60,College Degree
1984,97,50,High School
1984,97,50,Some High School
1984,50,50,Some College
1984,85,70,High School
1984,60,70,Some College
1984,15,70,High School and Non-Academic Training
1984,97,0,High School
1984,97,0,High School
1984,85,85,Some High School
1984,50,50,College Degree
1984,40,85,High School
1984,85,15,8th Grade or Less
1984,70,60,High School
1984,50,70,Some College
1984,50,70,Some College
1984,50,50,High School and Non-Academic Training
1984,50,50,Some High School
1984,97,15,Some High School
1984,50,50,High School and Non-Academic Training
1984,50,50,Some High School
1984,50,85,Some High School
1984,85,30,High School and Non-Academic Training
1984,50,60,High School and Non-Academic Training
1984,50,85,Some High School
1984,90,0,8th Grade or Less
1984,85,40,College Degree
1984,85,50,High School and Non-Academic Training
1984,50,70,High School
1984,70,85,High School and Non-Academic Training
1984,97,50,8th Grade or Less
1984,70,70,High School and Non-Academic Training
1984,40,85,Some College
1984,70,70,Some College
1984,95,30,Some College
1984,85,85,College Degree
1984,70,85,High School
1984,70,85,8th Grade or Less
1984,50,50,High School and Non-Academic Training
1984,70,60,Some College
1984,85,15,High School and Non-Academic Training
1984,60,97,High School and Non-Academic Training
1984,,,High School and Non-Academic Training
1984,85,15,Some College
1984,60,60,Some College
1984,97,0,8th Grade or Less
1984,70,50,High School and Non-Academic Training
1984,60,40,College Degree
1984,85,0,College Degree
1984,70,60,High School
1984,97,15,Some High School
1984,50,50,High School
1984,50,50,High School
1984,40,60,8th Grade or Less
1984,97,50,Some High School
1984,,,Some High School
1984,50,48,College Degree
1984,50,50,Some College
1984,70,70,College Degree
1984,70,60,Some High School
1984,60,50,High School
1984,60,40,College Degree
1984,97,15,High School
1984,50,50,Some College
1984,85,60,8th Grade or Less
1984,30,70,Some College
1984,70,50,High School
1984,85,15,High School
1984,50,70,Some College
1984,70,50,High School
1984,50,50,College Degree
1984,70,50,College Degree
1984,50,50,Some College
1984,30,70,Some High School
1984,30,60,High School
1984,80,40,Some High School
1984,50,50,8th Grade or Less
1984,70,70,8th Grade or Less
1984,60,60,College Degree
1984,70,70,8th Grade or Less
1984,70,85,High School and Non-Academic Training
1984,50,70,High School
1984,50,60,Some College
1984,50,50,8th Grade or Less
1984,60,85,College Degree
1984,70,40,College Degree
1984,85,97,8th Grade or Less
1984,50,50,8th Grade or Less
1984,50,70,Some College
1984,30,85,High School
1984,50,70,Some High School
1984,40,40,College Degree
1984,50,60,Some College
1984,50,60,High School
1984,85,85,8th Grade or Less
1984,85,97,Some College
1984,70,70,College Degree
1984,50,70,College Degree
1984,50,50,College Degree
1984,85,0,High School and Non-Academic Training
1984,40,85,Some College
1984,60,85,Some College
1984,97,50,College Degree
1984,50,97,Some High School
1984,50,50,High School and Non-Academic Training
1984,70,50,8th Grade or Less
1984,60,30,College Degree
1984,0,97,Some College
1984,50,50,High School
1984,70,60,Some College
1984,60,85,College Degree
1984,15,85,College Degree
1984,70,15,High School
1984,50,97,High School
1984,50,70,High School and Non-Academic Training
1984,70,40,High School
1984,97,30,High School and Non-Academic Training
1984,70,60,Some High School
1984,30,60,College Degree
1984,50,50,College Degree
1984,50,50,Some College
1984,50,60,College Degree
1984,60,40,Some High School
1984,50,50,Some High School
1984,60,30,Some College
1984,50,60,Some College
1984,60,50,8th Grade or Less
1984,,97,
1984,0,0,8th Grade or Less
1984,40,85,8th Grade or Less
1984,50,50,High School
1984,70,50,Some College
1984,,,Some High School
1984,,,8th Grade or Less
1984,97,40,High School
1984,15,97,Some College
1984,40,70,High School and Non-Academic Training
1984,60,50,Some High School
1984,97,50,8th Grade or Less
1984,85,60,8th Grade or Less
1984,97,0,Some High School
1984,60,97,8th Grade or Less
1984,75,90,Some College
1984,,,College Degree
1984,60,70,Some College
1984,85,15,Some College
1984,70,97,Some College
1984,30,70,High School and Non-Academic Training
1984,70,30,Some College
1984,15,0,High School and Non-Academic Training
1984,50,50,High School and Non-Academic Training
1984,50,85,Some College
1984,70,60,High School
1984,70,50,High School and Non-Academic Training
1984,40,70,Some College
1984,50,70,Some College
1984,,,Some High School
1984,30,60,High School and Non-Academic Training
1984,60,40,High School
1984,97,0,8th Grade or Less
1984,,,High School
1984,50,85,Some College
1984,60,15,Some College
1984,40,70,High School and Non-Academic Training
1984,30,97,Some College
1984,97,85,8th Grade or Less
1984,60,40,Some College
1984,85,97,High School
1984,0,97,High School
1984,50,85,High School and Non-Academic Training
1984,50,50,Some College
1984,70,70,Some College
1984,60,50,High School and Non-Academic Training
1984,0,97,High School and Non-Academic Training
1984,70,70,Some College
1984,40,70,High School and Non-Academic Training
1984,85,0,High School
1984,40,60,High School
1984,70,97,8th Grade or Less
1984,50,50,High School and Non-Academic Training
1984,15,70,Some College
1984,80,50,Some High School
1984,70,60,Some College
1984,15,70,High School
1984,60,85,High School and Non-Academic Training
1984,50,85,Some College
1984,70,50,8th Grade or Less
1984,50,85,Some College
1984,,70,8th Grade or Less
1984,85,50,Some High School
1984,70,30,Some College
1984,60,30,High School
1984,70,85,Some College
1984,60,70,Some College
1984,97,85,8th Grade or Less
1984,70,40,High School
1984,65,60,Some College
1984,30,70,Some College
1984,60,50,High School
1984,40,60,College Degree
1984,97,97,Some High School
1984,,,8th Grade or Less
1984,70,85,Some College
1984,15,15,High School
1984,0,97,High School and Non-Academic Training
1984,,,Some High School
1984,40,70,High School
1984,40,60,Some College
1984,60,70,Some High School
1984,97,97,8th Grade or Less
1984,50,70,Some High School
1984,97,0,High School
1984,60,0,8th Grade or Less
1984,30,85,Some College
1984,,,8th Grade or Less
1984,30,70,Some College
1984,70,40,High School
1984,50,50,8th Grade or Less
1984,70,40,High School and Non-Academic Training
1984,60,40,High School and Non-Academic Training
1984,97,15,Some High School
1984,60,50,High School
1984,,,8th Grade or Less
1984,60,85,High School and Non-Academic Training
1984,50,50,High School and Non-Academic Training
1984,85,85,Some High School
1984,60,60,High School and Non-Academic Training
1984,60,60,Some College
1984,60,60,Some High School
1984,85,60,College Degree
1984,60,80,High School and Non-Academic Training
1984,60,50,Some College
1984,50,85,College Degree
1984,85,0,High School
1984,85,30,Some College
1984,85,40,College Degree
1984,97,97,High School
1984,0,0,Some College
1984,50,50,Some College
1984,85,85,Some College
1984,70,40,Some College
1984,,,8th Grade or Less
1984,70,40,Some College
1984,85,40,Some College
1984,97,85,Some College
1984,60,40,Some College
1984,97,0,8th Grade or Less
1984,70,70,Some High School
1984,80,0,8th Grade or Less
1984,97,15,Some High School
1984,85,0,High School
1984,30,85,High School and Non-Academic Training
1984,50,50,Some College
1984,70,85,College Degree
1984,70,70,Some College
1984,60,70,Some College
1984,60,60,8th Grade or Less
1984,50,50,High School and Non-Academic Training
1984,50,50,High School and Non-Academic Training
1984,70,40,College Degree
1984,50,50,College Degree
1984,85,97,Some High School
1984,60,5,College Degree
1984,97,30,High School and Non-Academic Training
1984,50,50,College Degree
1984,70,70,College Degree
1984,60,60,High School and Non-Academic Training
1984,70,85,High School and Non-Academic Training
1984,97,15,College Degree
1984,85,70,Some College
1984,85,60,Some College
1984,,,8th Grade or Less
1984,70,70,Some College
1984,50,85,Some High School
1984,70,40,College Degree
1984,10,10,High School and Non-Academic Training
1984,60,85,8th Grade or Less
1984,85,70,8th Grade or Less
1984,70,70,High School
1984,50,50,Some College
1984,85,70,High School
1984,60,50,Some College
1984,70,60,8th Grade or Less
1984,85,40,Some High School
1984,40,70,Some College
1984,85,40,High School and Non-Academic Training
1984,15,85,Some High School
1984,95,15,College Degree
1984,97,0,Some College
1984,50,50,High School
1984,70,85,College Degree
1984,50,85,Some High School
1984,30,70,8th Grade or Less
1984,60,40,High School and Non-Academic Training
1984,97,50,Some College
1984,85,15,High School and Non-Academic Training
1984,60,40,High School and Non-Academic Training
1984,60,85,High School and Non-Academic Training
1984,15,60,College Degree
1984,60,85,Some College
1984,70,70,High School and Non-Academic Training
1984,60,60,College Degree
1984,0,97,High School
1984,0,97,Some College
1984,50,50,Some College
1984,,,Some High School
1984,70,70,High School and Non-Academic Training
1984,,,
1984,50,50,Some High School
1984,40,97,High School
1984,97,0,8th Grade or Less
1984,60,85,High School and Non-Academic Training
1984,70,70,Some College
1984,60,97,High School
1984,70,85,High School and Non-Academic Training
1984,50,50,High School
1984,85,85,High School and Non-Academic Training
1984,97,0,8th Grade or Less
1984,30,85,College Degree
1984,70,85,High School and Non-Academic Training
1984,50,60,Some College
1984,50,50,Some College
1984,60,40,Some High School
1984,60,60,Some College
1984,50,50,8th Grade or Less
1984,70,70,Some High School
1984,,,College Degree
1984,97,50,Some College
1984,50,50,High School and Non-Academic Training
1984,0,85,High School and Non-Academic Training
1984,60,70,High School
1984,97,0,8th Grade or Less
1984,70,30,Some College
1984,70,70,Some College
1984,,,8th Grade or Less
1984,60,0,High School
1984,50,50,College Degree
1984,70,50,High School and Non-Academic Training
1984,97,97,Some High School
1984,,,Some High School
1984,85,40,Some High School
1984,85,60,Some College
1984,85,85,Some High School
1984,70,60,College Degree
1984,70,70,Some College
1984,60,60,College Degree
1984,50,50,High School
1984,85,0,College Degree
1984,97,0,Some College
1984,60,85,8th Grade or Less
1984,97,50,Some College
1984,50,85,Some High School
1984,50,50,Some College
1984,70,85,College Degree
1984,97,40,Some High School
1984,85,70,High School
1984,50,50,High School and Non-Academic Training
1984,50,60,High School
1984,60,40,Some College
1984,50,80,High School
1984,,,High School and Non-Academic Training
1984,70,50,Some College
1984,30,60,Some High School
1984,40,97,High School and Non-Academic Training
1984,,,Some High School
1984,60,70,Some High School
1984,97,15,College Degree
1984,40,70,College Degree
1984,70,30,College Degree
1984,97,0,High School
1984,97,30,Some College
1984,60,85,High School and Non-Academic Training
1984,85,0,Some High School
1984,15,97,Some College
1984,50,50,High School and Non-Academic Training
1984,85,60,Some College
1984,65,75,8th Grade or Less
1984,,,8th Grade or Less
1984,85,60,College Degree
1984,50,50,Some High School
1984,40,85,8th Grade or Less
1984,50,50,Some High School
1984,97,70,High School and Non-Academic Training
1984,50,50,High School
1984,50,50,Some College
1984,60,50,8th Grade or Less
1984,50,50,High School
1984,70,70,High School
1984,0,97,Some College
1984,97,15,High School
1984,40,70,Some College
1984,50,50,Some High School
1984,60,85,College Degree
1984,40,97,Some College
1984,30,85,College Degree
1984,70,0,College Degree
1984,70,40,Some High School
1984,97,0,8th Grade or Less
1984,,,8th Grade or Less
1984,50,50,8th Grade or Less
1984,60,85,Some College
1984,60,50,High School
1984,40,85,High School and Non-Academic Training
1984,40,70,Some College
1984,40,60,High School
1984,50,97,Some High School
1984,50,50,High School
1984,40,60,High School and Non-Academic Training
1984,60,70,College Degree
1984,97,50,Some High School
1984,70,40,College Degree
1984,85,85,High School and Non-Academic Training
1984,85,60,College Degree
1984,40,85,High School
1984,97,0,College Degree
1984,50,50,High School
1984,0,0,College Degree
1984,60,60,College Degree
1984,60,70,High School
1984,15,70,High School and Non-Academic Training
1984,,,Some High School
1984,97,0,Some High School
1984,60,40,8th Grade or Less
1984,,,
1984,70,50,High School
1984,60,70,Some High School
1984,50,97,8th Grade or Less
1984,40,85,High School
1984,30,85,College Degree
1984,85,50,Some College
1984,50,50,High School and Non-Academic Training
1984,70,40,High School
1984,60,50,Some College
1984,0,97,Some High School
1984,50,50,Some High School
1984,50,70,Some High School
1984,70,85,8th Grade or Less
1984,40,97,High School
1984,50,50,8th Grade or Less
1984,85,15,Some College
1984,70,70,High School
1984,60,40,Some College
1984,70,60,High School
1984,40,70,Some College
1984,85,85,8th Grade or Less
1984,97,0,High School
1984,60,40,High School
1984,60,0,Some College
1984,85,85,Some College
1984,60,30,College Degree
1984,70,40,High School
1984,80,60,Some College
1984,30,70,College Degree
1984,85,15,College Degree
1984,85,70,8th Grade or Less
1984,80,30,College Degree
1984,60,85,8th Grade or Less
1984,50,85,8th Grade or Less
1984,15,50,8th Grade or Less
1984,70,50,8th Grade or Less
1984,50,50,8th Grade or Less
1984,97,50,Some High School
1984,60,85,College Degree
1984,60,70,High School and Non-Academic Training
1984,50,85,Some College
1984,60,85,High School
1984,97,15,Some College
1984,60,70,High School
1984,97,0,High School and Non-Academic Training
1984,97,0,High School
1984,60,97,8th Grade or Less
1984,50,50,High School and Non-Academic Training
1984,70,40,Some High School
1984,85,40,Some College
1984,85,50,8th Grade or Less
1984,70,97,Some College
1984,40,85,
1984,70,30,Some College
1984,97,50,Some High School
1984,50,50,8th Grade or Less
1984,50,70,High School and Non-Academic Training
1984,40,97,Some College
1984,60,60,Some College
1984,50,70,High School
1984,97,75,Some High School
1984,70,85,Some College
1984,60,70,High School and Non-Academic Training
1984,97,60,8th Grade or Less
1984,90,20,8th Grade or Less
1984,60,85,High School
1984,60,40,Some College
1984,85,15,College Degree
1984,,,High School
1984,60,97,Some College
1984,60,15,College Degree
1984,50,70,High School and Non-Academic Training
1984,97,0,Some High School
1984,40,40,College Degree
1984,70,40,College Degree
1984,50,50,College Degree
1984,,,Some High School
1984,60,30,High School and Non-Academic Training
1984,85,70,Some High School
1984,,,8th Grade or Less
1984,70,0,Some College
1984,70,60,High School
1984,60,60,8th Grade or Less
1984,85,15,High School
1984,70,50,Some College
1984,97,75,8th Grade or Less
1984,70,15,Some College
1984,50,50,8th Grade or Less
1984,40,97,Some College
1984,70,15,High School
1984,30,85,High School
1984,40,70,College Degree
1984,85,15,High School and Non-Academic Training
1984,70,60,High School and Non-Academic Training
1984,50,60,High School and Non-Academic Training
1984,40,70,High School
1984,50,50,8th Grade or Less
1984,60,30,High School and Non-Academic Training
1984,97,15,Some College
1984,97,0,Some College
1984,30,70,College Degree
1984,70,85,High School and Non-Academic Training
1984,70,60,High School
1984,70,40,College Degree
1984,60,70,High School
1984,97,50,Some High School
1984,40,70,College Degree
1984,85,50,High School and Non-Academic Training
1984,70,40,High School
1984,40,60,8th Grade or Less
1984,50,50,Some High School
1984,60,60,Some College
1984,85,85,High School and Non-Academic Training
1984,50,50,College Degree
1984,,,8th Grade or Less
1984,40,85,College Degree
1984,70,70,High School and Non-Academic Training
1984,85,97,Some College
1984,50,50,High School
1984,70,60,High School and Non-Academic Training
1984,70,40,Some College
1984,70,40,High School and Non-Academic Training
1984,50,50,College Degree
1984,15,85,College Degree
1984,15,97,Some College
1984,40,85,College Degree
1984,70,85,High School
1984,50,50,Some College
1984,,,Some High School
1984,15,70,High School and Non-Academic Training
1984,15,70,8th Grade or Less
1984,50,70,Some College
1984,30,85,Some College
1984,0,70,High School
1984,85,60,Some College
1984,97,40,High School
1984,70,50,Some College
1984,50,50,Some High School
1984,97,70,High School and Non-Academic Training
1984,50,70,High School and Non-Academic Training
1984,60,30,College Degree
1984,60,70,Some College
1984,50,70,High School
1984,,,Some College
1984,70,40,
1984,85,15,High School and Non-Academic Training
1984,85,15,High School and Non-Academic Training
1984,40,60,College Degree
1984,70,70,Some College
1984,40,85,Some College
1984,50,70,High School and Non-Academic Training
1984,85,50,Some College
1984,97,85,8th Grade or Less
1984,97,50,8th Grade or Less
1984,85,70,High School
1984,85,60,Some College
1984,,,8th Grade or Less
1984,40,60,High School
1984,60,70,High School and Non-Academic Training
1984,40,85,Some College
1984,80,,8th Grade or Less
1984,97,0,Some High School
1984,97,40,8th Grade or Less
1984,70,60,High School
1984,,,8th Grade or Less
1984,70,70,High School and Non-Academic Training
1984,60,85,Some High School
1984,50,50,College Degree
1984,70,70,High School and Non-Academic Training
1984,50,70,Some College
1984,60,85,College Degree
1984,50,70,High School
1984,85,50,High School
1984,60,60,High School and Non-Academic Training
1984,60,40,8th Grade or Less
1984,60,50,8th Grade or Less
1984,50,50,Some College
1984,70,15,Some College
1984,50,50,College Degree
1984,40,70,High School and Non-Academic Training
1984,50,60,Some High School
1984,15,85,High School and Non-Academic Training
1984,97,0,High School
1984,85,50,Some College
1984,70,60,8th Grade or Less
1984,50,70,Some High School
1984,60,70,Some College
1984,60,60,High School and Non-Academic Training
1984,70,40,Some College
1984,70,50,Some College
1984,50,85,College Degree
1984,50,85,Some High School
1984,70,0,Some College
1984,50,50,Some College
1984,70,0,Some College
1984,70,40,High School and Non-Academic Training
1984,70,50,College Degree
1984,30,30,College Degree
1984,30,85,College Degree
1984,70,40,College Degree
1984,97,97,High School and Non-Academic Training
1984,70,80,
1984,50,60,Some High School
1984,50,50,High School
1984,30,85,Some College
1984,85,15,High School
1984,60,85,Some College
1984,,50,Some High School
1984,97,60,8th Grade or Less
1984,97,60,Some High School
1984,97,0,Some High School
1984,50,85,College Degree
1984,90,90,Some College
1984,50,85,Some High School
1984,50,50,Some College
1984,50,50,Some High School
1984,85,60,High School
1984,85,60,College Degree
1984,50,50,8th Grade or Less
1984,50,50,College Degree
1984,0,97,High School
1984,50,50,College Degree
1984,60,60,Some High School
1984,70,60,High School
